cohort_month,order_month,active_customers,cohort_index,customers_acquired,retention_rate
2009-12,2009-12,955,0,955,1.0
2009-12,2010-01,337,1,955,0.3529
2009-12,2010-02,319,2,955,0.334
2009-12,2010-03,406,3,955,0.4251
2009-12,2010-04,363,4,955,0.3801
2009-12,2010-05,343,5,955,0.3592
2009-12,2010-06,360,6,955,0.377
2009-12,2010-07,327,7,955,0.3424
2009-12,2010-08,321,8,955,0.3361
2009-12,2010-09,346,9,955,0.3623
2009-12,2010-10,403,10,955,0.422
2009-12,2010-11,473,11,955,0.4953
2009-12,2010-12,359,12,955,0.3759
2009-12,2011-01,270,13,955,0.2827
2009-12,2011-02,233,14,955,0.244
2009-12,2011-03,289,15,955,0.3026
2009-12,2011-04,251,16,955,0.2628
2009-12,2011-05,289,17,955,0.3026
2009-12,2011-06,270,18,955,0.2827
2009-12,2011-07,248,19,955,0.2597
2009-12,2011-08,244,20,955,0.2555
2009-12,2011-09,301,21,955,0.3152
2009-12,2011-10,291,22,955,0.3047
2009-12,2011-11,389,23,955,0.4073
2009-12,2011-12,188,24,955,0.1969
2010-01,2010-01,383,0,383,1.0
2010-01,2010-02,79,1,383,0.2063
2010-01,2010-03,119,2,383,0.3107
2010-01,2010-04,117,3,383,0.3055
2010-01,2010-05,101,4,383,0.2637
2010-01,2010-06,115,5,383,0.3003
2010-01,2010-07,99,6,383,0.2585
2010-01,2010-08,88,7,383,0.2298
2010-01,2010-09,107,8,383,0.2794
2010-01,2010-10,122,9,383,0.3185
2010-01,2010-11,116,10,383,0.3029
2010-01,2010-12,66,11,383,0.1723
2010-01,2011-01,85,12,383,0.2219
2010-01,2011-02,68,13,383,0.1775
2010-01,2011-03,72,14,383,0.188
2010-01,2011-04,58,15,383,0.1514
2010-01,2011-05,90,16,383,0.235
2010-01,2011-06,76,17,383,0.1984
2010-01,2011-07,71,18,383,0.1854
2010-01,2011-08,75,19,383,0.1958
2010-01,2011-09,93,20,383,0.2428
2010-01,2011-10,74,21,383,0.1932
2010-01,2011-11,94,22,383,0.2454
2010-01,2011-12,22,23,383,0.0574
2010-02,2010-02,374,0,374,1.0
2010-02,2010-03,89,1,374,0.238
2010-02,2010-04,84,2,374,0.2246
2010-02,2010-05,109,3,374,0.2914
2010-02,2010-06,92,4,374,0.246
2010-02,2010-07,75,5,374,0.2005
2010-02,2010-08,72,6,374,0.1925
2010-02,2010-09,107,7,374,0.2861
2010-02,2010-10,95,8,374,0.254
2010-02,2010-11,103,9,374,0.2754
2010-02,2010-12,43,10,374,0.115
2010-02,2011-01,47,11,374,0.1257
2010-02,2011-02,57,12,374,0.1524
2010-02,2011-03,65,13,374,0.1738
2010-02,2011-04,46,14,374,0.123
2010-02,2011-05,75,15,374,0.2005
2010-02,2011-06,60,16,374,0.1604
2010-02,2011-07,61,17,374,0.1631
2010-02,2011-08,54,18,374,0.1444
2010-02,2011-09,86,19,374,0.2299
2010-02,2011-10,86,20,374,0.2299
2010-02,2011-11,61,21,374,0.1631
2010-02,2011-12,22,22,374,0.0588
2010-03,2010-03,443,0,443,1.0
2010-03,2010-04,84,1,443,0.1896
2010-03,2010-05,102,2,443,0.2302
2010-03,2010-06,107,3,443,0.2415
2010-03,2010-07,103,4,443,0.2325
2010-03,2010-08,90,5,443,0.2032
2010-03,2010-09,109,6,443,0.246
2010-03,2010-10,134,7,443,0.3025
2010-03,2010-11,122,8,443,0.2754
2010-03,2010-12,48,9,443,0.1084
2010-03,2011-01,51,10,443,0.1151
2010-03,2011-02,63,11,443,0.1422
2010-03,2011-03,89,12,443,0.2009
2010-03,2011-04,72,13,443,0.1625
2010-03,2011-05,89,14,443,0.2009
2010-03,2011-06,75,15,443,0.1693
2010-03,2011-07,77,16,443,0.1738
2010-03,2011-08,69,17,443,0.1558
2010-03,2011-09,78,18,443,0.1761
2010-03,2011-10,89,19,443,0.2009
2010-03,2011-11,94,20,443,0.2122
2010-03,2011-12,35,21,443,0.079
2010-04,2010-04,294,0,294,1.0
2010-04,2010-05,57,1,294,0.1939
2010-04,2010-06,57,2,294,0.1939
2010-04,2010-07,48,3,294,0.1633
2010-04,2010-08,54,4,294,0.1837
2010-04,2010-09,66,5,294,0.2245
2010-04,2010-10,81,6,294,0.2755
2010-04,2010-11,77,7,294,0.2619
2010-04,2010-12,31,8,294,0.1054
2010-04,2011-01,32,9,294,0.1088
2010-04,2011-02,22,10,294,0.0748
2010-04,2011-03,41,11,294,0.1395
2010-04,2011-04,41,12,294,0.1395
2010-04,2011-05,46,13,294,0.1565
2010-04,2011-06,46,14,294,0.1565
2010-04,2011-07,46,15,294,0.1565
2010-04,2011-08,41,16,294,0.1395
2010-04,2011-09,44,17,294,0.1497
2010-04,2011-10,53,18,294,0.1803
2010-04,2011-11,66,19,294,0.2245
2010-04,2011-12,17,20,294,0.0578
2010-05,2010-05,254,0,254,1.0
2010-05,2010-06,40,1,254,0.1575
2010-05,2010-07,43,2,254,0.1693
2010-05,2010-08,44,3,254,0.1732
2010-05,2010-09,45,4,254,0.1772
2010-05,2010-10,65,5,254,0.2559
2010-05,2010-11,54,6,254,0.2126
2010-05,2010-12,32,7,254,0.126
2010-05,2011-01,15,8,254,0.0591
2010-05,2011-02,21,9,254,0.0827
2010-05,2011-03,29,10,254,0.1142
2010-05,2011-04,34,11,254,0.1339
2010-05,2011-05,39,12,254,0.1535
2010-05,2011-06,39,13,254,0.1535
2010-05,2011-07,25,14,254,0.0984
2010-05,2011-08,32,15,254,0.126
2010-05,2011-09,35,16,254,0.1378
2010-05,2011-10,42,17,254,0.1654
2010-05,2011-11,39,18,254,0.1535
2010-05,2011-12,12,19,254,0.0472
2010-06,2010-06,270,0,270,1.0
2010-06,2010-07,47,1,270,0.1741
2010-06,2010-08,51,2,270,0.1889
2010-06,2010-09,55,3,270,0.2037
2010-06,2010-10,62,4,270,0.2296
2010-06,2010-11,77,5,270,0.2852
2010-06,2010-12,34,6,270,0.1259
2010-06,2011-01,24,7,270,0.0889
2010-06,2011-02,22,8,270,0.0815
2010-06,2011-03,32,9,270,0.1185
2010-06,2011-04,29,10,270,0.1074
2010-06,2011-05,37,11,270,0.137
2010-06,2011-06,40,12,270,0.1481
2010-06,2011-07,33,13,270,0.1222
2010-06,2011-08,30,14,270,0.1111
2010-06,2011-09,33,15,270,0.1222
2010-06,2011-10,36,16,270,0.1333
2010-06,2011-11,55,17,270,0.2037
2010-06,2011-12,14,18,270,0.0519
2010-07,2010-07,186,0,186,1.0
2010-07,2010-08,29,1,186,0.1559
2010-07,2010-09,34,2,186,0.1828
2010-07,2010-10,55,3,186,0.2957
2010-07,2010-11,54,4,186,0.2903
2010-07,2010-12,26,5,186,0.1398
2010-07,2011-01,21,6,186,0.1129
2010-07,2011-02,27,7,186,0.1452
2010-07,2011-03,27,8,186,0.1452
2010-07,2011-04,21,9,186,0.1129
2010-07,2011-05,25,10,186,0.1344
2010-07,2011-06,27,11,186,0.1452
2010-07,2011-07,25,12,186,0.1344
2010-07,2011-08,25,13,186,0.1344
2010-07,2011-09,36,14,186,0.1935
2010-07,2011-10,32,15,186,0.172
2010-07,2011-11,44,16,186,0.2366
2010-07,2011-12,15,17,186,0.0806
2010-08,2010-08,162,0,162,1.0
2010-08,2010-09,33,1,162,0.2037
2010-08,2010-10,48,2,162,0.2963
2010-08,2010-11,52,3,162,0.321
2010-08,2010-12,28,4,162,0.1728
2010-08,2011-01,19,5,162,0.1173
2010-08,2011-02,16,6,162,0.0988
2010-08,2011-03,20,7,162,0.1235
2010-08,2011-04,22,8,162,0.1358
2010-08,2011-05,21,9,162,0.1296
2010-08,2011-06,21,10,162,0.1296
2010-08,2011-07,20,11,162,0.1235
2010-08,2011-08,25,12,162,0.1543
2010-08,2011-09,30,13,162,0.1852
2010-08,2011-10,29,14,162,0.179
2010-08,2011-11,32,15,162,0.1975
2010-08,2011-12,11,16,162,0.0679
2010-09,2010-09,243,0,243,1.0
2010-09,2010-10,55,1,243,0.2263
2010-09,2010-11,57,2,243,0.2346
2010-09,2010-12,30,3,243,0.1235
2010-09,2011-01,22,4,243,0.0905
2010-09,2011-02,25,5,243,0.1029
2010-09,2011-03,33,6,243,0.1358
2010-09,2011-04,24,7,243,0.0988
2010-09,2011-05,31,8,243,0.1276
2010-09,2011-06,32,9,243,0.1317
2010-09,2011-07,28,10,243,0.1152
2010-09,2011-08,24,11,243,0.0988
2010-09,2011-09,53,12,243,0.2181
2010-09,2011-10,40,13,243,0.1646
2010-09,2011-11,39,14,243,0.1605
2010-09,2011-12,13,15,243,0.0535
2010-10,2010-10,377,0,377,1.0
2010-10,2010-11,97,1,377,0.2573
2010-10,2010-12,55,2,377,0.1459
2010-10,2011-01,47,3,377,0.1247
2010-10,2011-02,33,4,377,0.0875
2010-10,2011-03,31,5,377,0.0822
2010-10,2011-04,49,6,377,0.13
2010-10,2011-05,52,7,377,0.1379
2010-10,2011-06,40,8,377,0.1061
2010-10,2011-07,35,9,377,0.0928
2010-10,2011-08,40,10,377,0.1061
2010-10,2011-09,49,11,377,0.13
2010-10,2011-10,72,12,377,0.191
2010-10,2011-11,87,13,377,0.2308
2010-10,2011-12,26,14,377,0.069
2010-11,2010-11,325,0,325,1.0
2010-11,2010-12,57,1,325,0.1754
2010-11,2011-01,30,2,325,0.0923
2010-11,2011-02,31,3,325,0.0954
2010-11,2011-03,25,4,325,0.0769
2010-11,2011-04,28,5,325,0.0862
2010-11,2011-05,42,6,325,0.1292
2010-11,2011-06,32,7,325,0.0985
2010-11,2011-07,28,8,325,0.0862
2010-11,2011-08,29,9,325,0.0892
2010-11,2011-09,36,10,325,0.1108
2010-11,2011-10,47,11,325,0.1446
2010-11,2011-11,83,12,325,0.2554
2010-11,2011-12,20,13,325,0.0615
2010-12,2010-12,76,0,76,1.0
2010-12,2011-01,7,1,76,0.0921
2010-12,2011-02,4,2,76,0.0526
2010-12,2011-03,7,3,76,0.0921
2010-12,2011-04,9,4,76,0.1184
2010-12,2011-05,5,5,76,0.0658
2010-12,2011-06,4,6,76,0.0526
2010-12,2011-07,7,7,76,0.0921
2010-12,2011-08,4,8,76,0.0526
2010-12,2011-09,2,9,76,0.0263
2010-12,2011-10,7,10,76,0.0921
2010-12,2011-11,15,11,76,0.1974
2010-12,2011-12,2,12,76,0.0263
2011-01,2011-01,71,0,71,1.0
2011-01,2011-02,12,1,71,0.169
2011-01,2011-03,15,2,71,0.2113
2011-01,2011-04,14,3,71,0.1972
2011-01,2011-05,15,4,71,0.2113
2011-01,2011-06,11,5,71,0.1549
2011-01,2011-07,11,6,71,0.1549
