customer_id,segment_name,behavioral_state,primary_country,lifetime_orders,total_value,recency_days,average_order_value,recent_90d_value,prior_90d_value,value_momentum_pct,frequency_momentum_pct,product_count,primary_active_signal,insufficient_history
12346,High-Value Stable,DORMANT,United Kingdom,12,77556.46,325,6463.0383,0.0,0.0,0.0,0.0,27,HISTORICAL_VALUE_DORMANT,False
12347,High-Value Stable,ENGAGED,Iceland,8,4921.53,2,615.1912,1519.14,584.91,1.5972,1.0,126,POSITIVE_MOMENTUM,False
12348,Emerging Engagement,SOFTENING,Finland,5,2019.4,75,403.88,310.0,0.0,1.0,1.0,25,POSITIVE_MOMENTUM,False
12349,Emerging Engagement,ENGAGED,Italy,4,4428.69,18,1107.1725,1757.55,0.0,1.0,1.0,138,POSITIVE_MOMENTUM,False
12350,Unsegmented (Insufficient History),DORMANT,Norway,1,334.4,310,334.4,0.0,0.0,0.0,0.0,17,None,True
12351,Unsegmented (Insufficient History),DORMANT,Unspecified,1,300.93,375,300.93,0.0,0.0,0.0,0.0,21,None,True
12352,High-Value Stable,SOFTENING,Norway,10,2849.84,36,284.984,944.23,0.0,1.0,1.0,70,POSITIVE_MOMENTUM,False
12353,Low-Activity / Long-Recency,DORMANT,Bahrain,2,406.76,204,203.38,0.0,0.0,0.0,0.0,23,None,False
12354,Unsegmented (Insufficient History),DORMANT,Spain,1,1079.4,232,1079.4,0.0,0.0,0.0,0.0,58,None,True
12355,Low-Activity / Long-Recency,DORMANT,Bahrain,2,947.61,214,473.805,0.0,0.0,0.0,0.0,35,None,False
12356,High-Value Stable,ENGAGED,Portugal,6,6371.73,22,1061.955,58.35,0.0,1.0,1.0,104,POSITIVE_MOMENTUM,False
12357,Emerging Engagement,ENGAGED,Switzerland,3,18287.66,33,6095.8867,6207.67,0.0,1.0,1.0,261,POSITIVE_MOMENTUM,False
12358,Emerging Engagement,REACTIVATED,Austria,5,3887.07,1,777.414,683.2,484.86,0.4091,0.0,56,None,False
12359,High-Value Stable,ENGAGED,Cyprus,10,8873.39,57,887.339,2814.3,0.0,1.0,1.0,305,POSITIVE_MOMENTUM,False
12360,High-Value Stable,ENGAGED,Austria,8,4252.89,52,531.6112,1043.78,534.7,0.9521,0.0,160,None,False
12361,Low-Activity / Long-Recency,DORMANT,Belgium,4,511.25,287,127.8125,0.0,0.0,0.0,0.0,18,None,False
12362,Emerging Engagement,ENGAGED,Belgium,11,5356.23,3,486.93,3478.88,773.01,3.5004,2.0,201,POSITIVE_MOMENTUM,False
12363,Low-Activity / Long-Recency,DORMANT,Unspecified,2,552.0,109,276.0,0.0,252.9,-1.0,-1.0,23,None,False
12364,Emerging Engagement,ENGAGED,Belgium,4,1313.1,7,328.275,689.18,623.92,0.1046,2.0,70,None,False
12365,Low-Activity / Long-Recency,DORMANT,Cyprus,2,641.38,291,320.69,0.0,0.0,0.0,0.0,22,None,False
12366,Unsegmented (Insufficient History),DORMANT,Cyprus,1,500.24,633,500.24,0.0,0.0,0.0,0.0,3,None,True
12367,Unsegmented (Insufficient History),EMERGING,Denmark,1,168.9,4,168.9,168.9,0.0,1.0,1.0,11,EMERGING_BROADENING,True
12368,Unsegmented (Insufficient History),DORMANT,Cyprus,1,917.7,628,917.7,0.0,0.0,0.0,0.0,18,None,True
12369,Low-Activity / Long-Recency,DORMANT,Austria,3,1791.15,413,597.05,0.0,0.0,0.0,0.0,90,None,False
12370,High-Value Stable,ENGAGED,Austria,7,4316.56,51,616.6514,739.28,0.0,1.0,1.0,168,POSITIVE_MOMENTUM,False
12371,Emerging Engagement,ENGAGED,Switzerland,5,4067.38,44,813.476,1887.96,0.0,1.0,1.0,134,POSITIVE_MOMENTUM,False
12372,Emerging Engagement,SOFTENING,Denmark,3,1298.04,71,432.68,383.12,0.0,1.0,1.0,34,POSITIVE_MOMENTUM,False
12373,Low-Activity / Long-Recency,DORMANT,Austria,3,1127.65,311,375.8833,0.0,0.0,0.0,0.0,36,None,False
12374,Emerging Engagement,ENGAGED,Austria,4,2989.22,25,747.305,742.93,0.0,1.0,1.0,79,POSITIVE_MOMENTUM,False
12375,Low-Activity / Long-Recency,ENGAGED,Finland,2,457.5,10,228.75,227.2,230.3,-0.0135,0.0,14,None,False
12376,Low-Activity / Long-Recency,DORMANT,Switzerland,2,503.15,389,251.575,0.0,0.0,0.0,0.0,11,None,False
12377,Low-Activity / Long-Recency,DORMANT,Switzerland,4,3426.32,315,856.58,0.0,0.0,0.0,0.0,129,HISTORICAL_VALUE_DORMANT,False
12378,Low-Activity / Long-Recency,DORMANT,Switzerland,2,5416.32,129,2708.16,0.0,4008.62,-1.0,-1.0,281,HIGH_VALUE_SOFTENING,False
12379,Low-Activity / Long-Recency,SOFTENING,Belgium,4,1620.22,81,405.055,392.4,459.84,-0.1467,0.0,58,None,False
12380,High-Value Stable,ENGAGED,Belgium,11,9676.3,21,879.6636,2117.26,0.0,1.0,1.0,156,POSITIVE_MOMENTUM,False
12381,Emerging Engagement,ENGAGED,Norway,5,1845.31,4,369.062,576.57,1268.74,-0.5456,3.0,70,None,False
12383,Low-Activity / Long-Recency,DORMANT,Belgium,5,1850.56,184,370.112,0.0,0.0,0.0,0.0,84,None,False
12384,Low-Activity / Long-Recency,ENGAGED,Switzerland,2,585.27,28,292.635,292.58,292.69,-0.0004,0.0,26,None,False
12385,Unsegmented (Insufficient History),DORMANT,Belgium,1,1938.4,379,1938.4,0.0,0.0,0.0,0.0,65,None,True
12386,Low-Activity / Long-Recency,DORMANT,Australia,2,401.9,337,200.95,0.0,0.0,0.0,0.0,10,None,False
12387,Unsegmented (Insufficient History),DORMANT,Australia,1,143.94,415,143.94,0.0,0.0,0.0,0.0,9,None,True
12388,High-Value Stable,SOFTENING,Australia,8,3901.11,15,487.6388,1112.32,902.09,0.233,1.0,83,None,False
12389,Low-Activity / Long-Recency,DORMANT,Australia,3,1433.33,402,477.7767,0.0,0.0,0.0,0.0,41,None,False
12390,Unsegmented (Insufficient History),SOFTENING,Belgium,1,549.84,79,549.84,549.84,0.0,1.0,1.0,32,POSITIVE_MOMENTUM,True
12391,Emerging Engagement,ENGAGED,Cyprus,6,2724.84,21,454.14,439.66,0.0,1.0,1.0,241,POSITIVE_MOMENTUM,False
12392,Unsegmented (Insufficient History),DORMANT,Australia,1,234.75,591,234.75,0.0,0.0,0.0,0.0,7,None,True
12393,Emerging Engagement,SOFTENING,Australia,6,2399.45,72,399.9083,521.5,0.0,1.0,1.0,63,POSITIVE_MOMENTUM,False
12394,Emerging Engagement,ENGAGED,Belgium,2,1272.48,63,636.24,891.4,0.0,1.0,1.0,26,POSITIVE_MOMENTUM,False
12395,High-Value Stable,ENGAGED,Belgium,15,4721.17,19,314.7447,1119.06,329.85,2.3926,1.0,145,POSITIVE_MOMENTUM,False
12396,Unsegmented (Insufficient History),DORMANT,RSA,1,931.43,674,931.43,0.0,0.0,0.0,0.0,65,None,True
12397,Low-Activity / Long-Recency,ENGAGED,Belgium,2,2409.9,35,1204.95,1195.09,1214.81,-0.0162,0.0,110,None,False
12398,Unsegmented (Insufficient History),EMERGING,Switzerland,1,1635.66,45,1635.66,1635.66,0.0,1.0,1.0,85,EMERGING_BROADENING,True
12399,Low-Activity / Long-Recency,DORMANT,Belgium,7,1962.3,119,280.3286,0.0,209.62,-1.0,-1.0,67,None,False
12400,Unsegmented (Insufficient History),DORMANT,Australia,1,205.25,414,205.25,0.0,0.0,0.0,0.0,11,None,True
12401,Unsegmented (Insufficient History),DORMANT,Belgium,1,84.3,303,84.3,0.0,0.0,0.0,0.0,5,None,True
12402,Low-Activity / Long-Recency,DORMANT,Belgium,6,1256.9,323,209.4833,0.0,0.0,0.0,0.0,43,None,False
12403,Emerging Engagement,ENGAGED,Denmark,2,1019.36,49,509.68,427.7,0.0,1.0,1.0,5,POSITIVE_MOMENTUM,False
12404,Unsegmented (Insufficient History),DORMANT,Finland,1,63.24,682,63.24,0.0,0.0,0.0,0.0,1,None,True
12405,Unsegmented (Insufficient History),DORMANT,Finland,1,1710.39,148,1710.39,0.0,1710.39,-1.0,-1.0,54,None,True
12406,Emerging Engagement,ENGAGED,Denmark,5,6390.36,22,1278.072,1794.05,0.0,1.0,1.0,114,POSITIVE_MOMENTUM,False
12407,Low-Activity / Long-Recency,SOFTENING,Belgium,5,1708.12,49,341.624,300.76,911.4,-0.67,-0.5,57,None,False
12408,High-Value Stable,ENGAGED,Belgium,8,4340.77,32,542.5962,754.5,1296.46,-0.418,-0.5,104,BROAD_ENGAGEMENT_SOFTENING,False
12409,High-Value Stable,SOFTENING,Switzerland,7,23419.29,78,3345.6129,4865.59,0.0,1.0,1.0,177,POSITIVE_MOMENTUM,False
12410,Low-Activity / Long-Recency,DORMANT,Switzerland,3,1013.71,308,337.9033,0.0,0.0,0.0,0.0,36,None,False
12411,Unsegmented (Insufficient History),DORMANT,Australia,1,346.9,409,346.9,0.0,0.0,0.0,0.0,22,None,True
12412,Low-Activity / Long-Recency,SOFTENING,Denmark,6,2596.93,74,432.8217,336.14,890.74,-0.6226,-0.5,82,None,False
12413,Emerging Engagement,ENGAGED,France,4,999.45,66,249.8625,194.2,0.0,1.0,1.0,41,POSITIVE_MOMENTUM,False
12414,Low-Activity / Long-Recency,DORMANT,Austria,6,952.41,217,158.735,0.0,0.0,0.0,0.0,21,None,False
12415,High-Value Stable,ENGAGED,Australia,28,144458.37,24,5159.2275,22826.65,51203.98,-0.5542,-0.25,498,HIGH_VALUE_SOFTENING,False
12416,Unsegmented (Insufficient History),DORMANT,Australia,1,202.56,656,202.56,0.0,0.0,0.0,0.0,11,None,True
