stock_code,description,total_quantity,total_revenue,customer_count,order_count,revenue_share
22423,REGENCY CAKESTAND 3 TIER,24124,277656.25,1314,3317,0.016
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91757,247048.01,1490,4888,0.0142
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,1,0.0097
M,Manual,9384,151777.67,438,620,0.0087
85099B,JUMBO BAG RED RETROSPOT,74224,134307.44,860,2612,0.0077
POST,POSTAGE,5235,124648.04,405,1803,0.0072
84879,ASSORTED COLOUR BIRD ORNAMENT,78234,124351.86,1010,2652,0.0072
47566,PARTY BUNTING,23460,103283.38,894,2077,0.0059
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,138,195,0.0047
22086,PAPER CHAIN KIT 50'S CHRISTMAS,28380,76598.18000000001,896,1691,0.0044
79321,CHILLI LIGHTS,14843,69084.3,304,922,0.004
85099F,JUMBO BAG STRAWBERRY,35842,64127.77,549,1514,0.0037
21137,BLACK RECORD COVER FRAME,18417,63092.12,198,539,0.0036
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,28606,55880.17,300,525,0.0032
82484,WOOD BLACK BOARD ANT WHITE FINISH,9678,54525.36,451,1048,0.0031
21621,VINTAGE UNION JACK BUNTING,6497,54432.62,583,1121,0.0031
15056N,EDWARDIAN PARASOL NATURAL,10948,54332.61,347,863,0.0031
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28899,52188.18,506,1449,0.003
23084,RABBIT NIGHT LIGHT,27153,51251.24,450,801,0.0029
22470,HEART OF WICKER LARGE,17104,49859.5,827,1743,0.0029
21733,RED HANGING HEART T-LIGHT HOLDER,17228,48850.6,744,1631,0.0028
21931,JUMBO STORAGE BAG SUKI,25970,47760.99,546,1714,0.0027
22189,CREAM HEART CARD HOLDER,15946,47414.200000000004,536,1129,0.0027
15056BL,EDWARDIAN PARASOL BLACK,9351,45885.07,321,788,0.0026
22178,VICTORIAN GLASS HANGING T-LIGHT,37285,45746.75,593,1442,0.0026
22112,CHOCOLATE HOT WATER BOTTLE,9904,45601.340000000004,631,1447,0.0026
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,24295,45059.13,658,1680,0.0026
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,16469,44998.270000000004,701,1233,0.0026
21623,VINTAGE UNION JACK MEMOBOARD,6125,44785.83,311,499,0.0026
21181,PLEASE ONE PERSON METAL SIGN,22379,44310.600000000006,562,1399,0.0026
22386,JUMBO BAG PINK POLKADOT,23572,43319.16,432,1055,0.0025
22469,HEART OF WICKER SMALL,26193,43316.53999999999,886,1779,0.0025
21929,JUMBO BAG PINK VINTAGE PAISLEY,24108,43313.9,504,1228,0.0025
22138,BAKING SET 9 PIECE RETROSPOT,9035,43070.91,1137,1742,0.0025
21843,RED RETROSPOT CAKE STAND,4298,42862.74,502,984,0.0025
22111,SCOTTIE DOG HOT WATER BOTTLE,9092,42463.200000000004,717,1457,0.0024
21754,HOME BUILDING BLOCK WORD,7231,42453.11,682,1831,0.0024
21731,RED TOADSTOOL LED NIGHT LIGHT,27102,41824.259999999995,415,1043,0.0024
21175,GIN + TONIC DIET METAL SIGN,19755,40940.78,543,1385,0.0024
22457,NATURAL SLATE HEART CHALKBOARD,14187,40276.170000000006,874,1637,0.0023
22326,ROUND SNACK BOXES SET OF4 WOODLAND,14630,40219.82,439,1144,0.0023
48138,DOORMAT UNION FLAG,6146,40053.72,467,874,0.0023
82494L,WOODEN FRAME ANTIQUE WHITE,14368,39909.170000000006,631,1773,0.0023
20727,LUNCH BAG  BLACK SKULL.,25392,39904.0,705,1997,0.0023
21915,RED  HARMONICA IN BOX,35229,39870.65,467,884,0.0023
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,13874,39822.34,298,644,0.0023
21232,STRAWBERRY CERAMIC TRINKET BOX,33899,39682.67,683,1818,0.0023
22502,PICNIC BASKET WICKER 60 PIECES,61,39619.5,1,2,0.0023
21166,COOK WITH WINE METAL SIGN,19652,37029.340000000004,475,1225,0.0021
82482,WOODEN PICTURE FRAME WHITE FINISH,15643,37011.1,601,1658,0.0021
20728,LUNCH BAG CARS BLUE,23304,36644.28,702,1797,0.0021
84078A,SET/4 WHITE RETRO STORAGE CUBES,1007,36259.65,151,234,0.0021
22629,SPACEBOY LUNCH BOX,20271,36150.99,456,1108,0.0021
23284,DOORMAT KEEP CALM AND COME IN,5338,35880.85,378,648,0.0021
23298,SPOTTY BUNTING,7630,35494.700000000004,571,1002,0.002
85066,CREAM SWEETHEART MINI CHEST,2948,35264.729999999996,471,809,0.002
20713,JUMBO BAG OWLS,19463,35162.42,371,920,0.002
48194,DOORMAT HEARTS,5788,35069.4,448,857,0.002
22114,HOT WATER BOTTLE TEA AND SYMPATHY,8848,34479.62,626,1298,0.002
22960,JAM MAKING SET WITH JARS,8454,33833.72,583,903,0.0019
22328,ROUND SNACK BOXES SET OF 4 FRUITS,12356,33670.24,400,985,0.0019
22720,SET OF 3 CAKE TINS PANTRY DESIGN,7010,33298.3,640,1146,0.0019
20726,LUNCH BAG WOODLAND,20916,33004.76,585,1585,0.0019
22197,SMALL POPCORN HOLDER,42955,32505.93,426,1039,0.0019
22699,ROSES REGENCY TEACUP AND SAUCER,11939,32470.65,521,1056,0.0019
20725,LUNCH BAG RED RETROSPOT,20294,32137.5,605,1520,0.0018
84029E,RED WOOLLY HOTTIE WHITE HEART.,9259,31876.47,500,956,0.0018
20685,DOORMAT RED RETROSPOT,4806,31864.2,416,758,0.0018
21755,LOVE BUILDING BLOCK WORD,5367,31590.410000000003,661,1485,0.0018
48187,DOORMAT NEW ENGLAND,5146,31461.34,389,728,0.0018
22630,DOLLY GIRL LUNCH BOX,17340,30921.64,423,998,0.0018
22727,ALARM CLOCK BAKELIKE RED,8512,30703.09,473,1144,0.0018
85152,HAND OVER THE CHOCOLATE   SIGN,16146,30615.93,486,1300,0.0018
82486,WOOD S/3 CABINET ANT WHITE FINISH,3913,30363.75,320,1002,0.0017
22382,LUNCH BAG SPACEBOY DESIGN,18834,30131.7,774,1874,0.0017
22385,JUMBO BAG SPACEBOY DESIGN,16383,29810.15,412,971,0.0017
21523,DOORMAT FANCY FONT HOME SWEET HOME,4825,29691.95,271,572,0.0017
