country,customer_count,total_orders,total_value,average_order_value,median_recency,value_share
United Kingdom,5350,33542,14388884.627,358.9697850841122,98.0,0.8282
EIRE,4,566,616368.98,971.31055,85.0,0.0355
Netherlands,22,228,554038.09,508.4054818181818,414.0,0.0319
Germany,106,788,424922.661,586.9374311320755,47.5,0.0245
France,95,616,349107.36,475.23375473684206,39.0,0.0201
Australia,14,93,169207.79,681.0329714285715,249.5,0.0097
Spain,38,147,106684.82,577.2784736842104,77.0,0.0061
Switzerland,22,100,103262.74,1119.7936818181818,75.0,0.0059
Sweden,19,104,91515.82,615.8701842105264,385.0,0.0053
Denmark,9,40,67059.87,1453.101688888889,59.0,0.0039
Belgium,28,149,65252.55,490.694875,60.0,0.0038
Norway,13,45,56322.5,1592.5577692307693,43.0,0.0032
Portugal,24,93,55554.78,503.9793583333333,97.0,0.0032
Channel Islands,13,55,44623.33,828.7544076923077,204.0,0.0026
Japan,10,33,43023.91,987.7731100000001,174.0,0.0025
Italy,17,65,32108.17,563.8566058823529,38.0,0.0018
Finland,14,57,29925.54,519.6656857142857,48.0,0.0017
Austria,12,47,26439.77,628.7178416666667,175.5,0.0015
Singapore,1,11,25317.06,2301.5509,51.0,0.0015
Cyprus,9,36,21960.47,562.9445222222223,291.0,0.0013
Greece,5,18,19096.190000000002,1332.465,280.0,0.0011
Poland,6,28,10654.29,324.9844,98.0,0.0006
Israel,4,7,10415.240000000002,1893.8158250000001,130.5,0.0006
United Arab Emirates,4,11,9202.689999999999,838.062625,461.5,0.0005
Unspecified,6,16,8607.349999999999,390.07458333333335,153.0,0.0005
USA,9,20,8366.86,457.0689777777777,423.0,0.0005
Malta,2,9,8099.09,855.41125,69.0,0.0005
Iceland,1,8,4921.53,615.1912,2.0,0.0003
Lithuania,1,6,4892.68,815.4467,366.0,0.0003
Canada,5,8,4883.04,462.93666,219.0,0.0003
Thailand,1,2,3070.54,1535.27,522.0,0.0002
RSA,2,2,1933.7399999999998,966.8699999999999,365.5,0.0001
Lebanon,1,1,1693.88,1693.88,316.0,0.0001
Brazil,2,2,1411.87,705.935,341.0,0.0001
Bahrain,2,4,1354.37,338.5925,209.0,0.0001
European Community,1,4,1300.25,325.0625,141.0,0.0001
Korea,2,2,1118.51,559.255,412.5,0.0001
Czech Republic,1,2,826.74,413.37,63.0,0.0
West Indies,1,1,536.41,536.41,473.0,0.0
Saudi Arabia,1,1,145.92,145.92,288.0,0.0
Nigeria,1,2,140.39,70.195,476.0,0.0
