year_month,active_customers,total_orders,total_items,total_value,emerging_customers,reactivated_customers,dormant_customers,engaged_customers,softening_customers,average_order_value
2009-12,955,1512,398660,683504.01,955,0,0,0,0,452.05
2010-01,720,1011,370082,555802.672,1338,0,0,0,0,549.76
2010-02,772,1104,371861,504558.956,1712,0,0,0,0,457.03
2010-03,1057,1524,502100,696978.471,1200,0,0,527,428,457.33
2010-04,942,1329,350587,591982.002,1137,0,0,644,668,445.43
2010-05,966,1377,384960,597833.38,974,43,245,738,703,434.16
2010-06,1041,1497,389872,636371.13,818,56,547,900,652,425.1
2010-07,928,1381,324632,589736.17,710,52,818,949,630,427.04
2010-08,911,1293,452542,602224.6,612,83,1008,961,657,465.76
2010-09,1145,1689,567153,829013.951,574,133,1154,1031,672,490.83
2010-10,1497,2133,596432,1033112.01,776,235,1176,1156,598,484.35
2010-11,1607,2587,653068,1166460.0219999999,945,215,1143,1425,538,450.89
2010-12,885,1400,311048,570422.73,764,72,1284,1539,683,407.44
2011-01,741,987,348473,568101.31,464,62,1575,1341,971,575.58
2011-02,758,997,265027,446084.92,277,84,1491,777,1908,447.43
2011-03,974,1321,347582,594081.76,374,157,2582,719,884,449.72
2011-04,856,1149,291366,468374.331,416,194,2388,815,1009,407.64
2011-05,1056,1555,372861,677340.3,389,208,2477,1137,722,435.59
2011-06,991,1393,363014,660046.05,325,196,2700,1236,584,473.83
2011-07,949,1331,367360,598962.901,320,158,2839,1313,513,450.01
2011-08,935,1280,397373,644051.04,312,134,2941,1181,681,503.16
2011-09,1266,1755,543652,950690.202,394,251,2959,1199,635,541.7
2011-10,1364,1929,591543,1035642.45,511,291,2916,1333,608,536.88
2011-11,1664,2657,665623,1155668.61,601,346,2765,1632,506,434.95
2011-12,615,778,286778,517208.44,440,75,2905,1719,739,664.79
