previous_state,current_state,customer_count,previous_month,current_month,customer_share
EMERGING,EMERGING,955,2009-12,2010-01,1.0
EMERGING,EMERGING,1338,2010-01,2010-02,1.0
EMERGING,EMERGING,757,2010-02,2010-03,0.4422
EMERGING,ENGAGED,527,2010-02,2010-03,0.3078
EMERGING,SOFTENING,428,2010-02,2010-03,0.25
EMERGING,EMERGING,843,2010-03,2010-04,0.7025
EMERGING,ENGAGED,184,2010-03,2010-04,0.1533
EMERGING,SOFTENING,173,2010-03,2010-04,0.1442
ENGAGED,ENGAGED,400,2010-03,2010-04,0.759
ENGAGED,SOFTENING,127,2010-03,2010-04,0.241
SOFTENING,ENGAGED,60,2010-03,2010-04,0.1402
SOFTENING,SOFTENING,368,2010-03,2010-04,0.8598
EMERGING,EMERGING,720,2010-04,2010-05,0.6332
EMERGING,ENGAGED,210,2010-04,2010-05,0.1847
EMERGING,SOFTENING,207,2010-04,2010-05,0.1821
ENGAGED,ENGAGED,464,2010-04,2010-05,0.7205
ENGAGED,SOFTENING,180,2010-04,2010-05,0.2795
SOFTENING,DORMANT,245,2010-04,2010-05,0.3668
SOFTENING,ENGAGED,64,2010-04,2010-05,0.0958
SOFTENING,REACTIVATED,43,2010-04,2010-05,0.0644
SOFTENING,SOFTENING,316,2010-04,2010-05,0.4731
DORMANT,DORMANT,216,2010-05,2010-06,0.8816
DORMANT,REACTIVATED,29,2010-05,2010-06,0.1184
EMERGING,EMERGING,548,2010-05,2010-06,0.5626
EMERGING,ENGAGED,171,2010-05,2010-06,0.1756
EMERGING,SOFTENING,255,2010-05,2010-06,0.2618
ENGAGED,ENGAGED,509,2010-05,2010-06,0.6897
ENGAGED,SOFTENING,229,2010-05,2010-06,0.3103
REACTIVATED,ENGAGED,43,2010-05,2010-06,1.0
SOFTENING,DORMANT,331,2010-05,2010-06,0.4708
SOFTENING,ENGAGED,177,2010-05,2010-06,0.2518
SOFTENING,REACTIVATED,27,2010-05,2010-06,0.0384
SOFTENING,SOFTENING,168,2010-05,2010-06,0.239
DORMANT,DORMANT,495,2010-06,2010-07,0.9049
DORMANT,REACTIVATED,52,2010-06,2010-07,0.0951
EMERGING,EMERGING,524,2010-06,2010-07,0.6406
EMERGING,ENGAGED,108,2010-06,2010-07,0.132
EMERGING,SOFTENING,186,2010-06,2010-07,0.2274
ENGAGED,ENGAGED,638,2010-06,2010-07,0.7089
ENGAGED,SOFTENING,262,2010-06,2010-07,0.2911
REACTIVATED,ENGAGED,56,2010-06,2010-07,1.0
SOFTENING,DORMANT,323,2010-06,2010-07,0.4954
SOFTENING,ENGAGED,147,2010-06,2010-07,0.2255
SOFTENING,SOFTENING,182,2010-06,2010-07,0.2791
DORMANT,DORMANT,735,2010-07,2010-08,0.8985
